epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.352400004863739,0.5962010025978088,0.06915019452571869,0.6233068108558655,0.0,0.0,0.0,0.0
1,0.953166663646698,0.057327963411808014,0.04860332980751991,0.07638043910264969,0.0,0.0,0.0,0.0
2,0.9711333513259888,0.033957432955503464,0.042643312364816666,0.050673581659793854,0.0,0.0,0.0,0.0
3,0.9782000184059143,0.025848008692264557,0.040032725781202316,0.04154084995388985,0.0,0.0,0.0,0.0
4,0.9818833470344543,0.022082312032580376,0.038053374737501144,0.03699921444058418,0.0,0.0,0.0,0.0
5,0.9843500256538391,0.019113954156637192,0.03652774542570114,0.03343282639980316,0.0,0.0,0.0,0.0
6,0.9861999750137329,0.016904044896364212,0.0354049876332283,0.030782779678702354,0.0,0.0,0.0,0.0
7,0.987416684627533,0.015299104154109955,0.034486524760723114,0.028817815706133842,0.0,0.0,0.0,0.0
8,0.9894000291824341,0.013656597584486008,0.03364267572760582,0.02684452384710312,0.0,0.0,0.0,0.0
9,0.9900333285331726,0.01272125169634819,0.03283706307411194,0.02559339441359043,0.0,0.0,0.0,0.0
