epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.14188332855701447,0.7620269060134888,0.07274734973907471,0.7905452251434326,0.0,0.0,0.0,0.0
1,0.901449978351593,0.10812021791934967,0.049608051776885986,0.12756666541099548,0.0,0.0,0.0,0.0
2,0.9682166576385498,0.0363314114511013,0.043138306587934494,0.05324164777994156,0.0,0.0,0.0,0.0
3,0.9762333035469055,0.02644709125161171,0.04001820832490921,0.04213423654437065,0.0,0.0,0.0,0.0
4,0.9807500243186951,0.022181278094649315,0.03808775171637535,0.037111684679985046,0.0,0.0,0.0,0.0
5,0.9839333295822144,0.018659505993127823,0.03626944497227669,0.0328771211206913,0.0,0.0,0.0,0.0
6,0.9860166907310486,0.016430843621492386,0.03499925509095192,0.030150532722473145,0.0,0.0,0.0,0.0
7,0.987666666507721,0.014545323327183723,0.0339566171169281,0.02785632386803627,0.0,0.0,0.0,0.0
8,0.9890333414077759,0.01303721684962511,0.03324776515364647,0.026070334017276764,0.0,0.0,0.0,0.0
9,0.9901166558265686,0.01180496159940958,0.03261742368340492,0.024591000750660896,0.0,0.0,0.0,0.0
10,0.991100013256073,0.010816065594553947,0.03217168524861336,0.023427370935678482,0.0,0.0,0.0,0.0
11,0.9919499754905701,0.009781965985894203,0.031771883368492126,0.022236555814743042,0.0,0.0,0.0,0.0
12,0.9927833080291748,0.009079918265342712,0.031411610543727875,0.021393271163105965,0.0,0.0,0.0,0.0
13,0.9937166571617126,0.008373554795980453,0.031027792021632195,0.020536448806524277,0.0,0.0,0.0,0.0
14,0.994183361530304,0.0077106403186917305,0.030647391453385353,0.0197244044393301,0.0,0.0,0.0,0.0
15,0.9950000047683716,0.006962371524423361,0.030276594683527946,0.01883079670369625,0.0,0.0,0.0,0.0
16,0.9958000183105469,0.0064938669092953205,0.02999003976583481,0.018249966204166412,0.0,0.0,0.0,0.0
17,0.9962666630744934,0.00592332798987627,0.029735978692770004,0.017579829320311546,0.0,0.0,0.0,0.0
18,0.9965999722480774,0.00544313620775938,0.0295083150267601,0.017010398209095,0.0,0.0,0.0,0.0
19,0.9968000054359436,0.005022838246077299,0.029304264113307,0.01651010289788246,0.0,0.0,0.0,0.0
