epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.10843333601951599,0.8114332556724548,0.07382195442914963,0.8403748273849487,0.0,0.0,0.0,0.0
1,0.7312333583831787,0.22329817712306976,0.053480908274650574,0.2442629337310791,0.0,0.0,0.0,0.0
2,0.9380833506584167,0.06307801604270935,0.04498989135026932,0.08071411401033401,0.0,0.0,0.0,0.0
3,0.958383321762085,0.043417952954769135,0.04187072813510895,0.05983125418424606,0.0,0.0,0.0,0.0
4,0.9668166637420654,0.036001887172460556,0.0401768833398819,0.05175120010972023,0.0,0.0,0.0,0.0
5,0.9716500043869019,0.03096574917435646,0.03920956328511238,0.04633590206503868,0.0,0.0,0.0,0.0
6,0.9750000238418579,0.02756563574075699,0.03838164359331131,0.04261122643947601,0.0,0.0,0.0,0.0
7,0.9775000214576721,0.02500685676932335,0.03740541264414787,0.03966977819800377,0.0,0.0,0.0,0.0
8,0.9793333411216736,0.02280249260365963,0.03642180934548378,0.037079859524965286,0.0,0.0,0.0,0.0
9,0.9810500144958496,0.021195674315094948,0.03529706969857216,0.03503211587667465,0.0,0.0,0.0,0.0
10,0.9828000068664551,0.019527385011315346,0.034374337643384933,0.03300211951136589,0.0,0.0,0.0,0.0
11,0.984083354473114,0.01819358579814434,0.03366973623633385,0.03139211982488632,0.0,0.0,0.0,0.0
12,0.9851166605949402,0.017319248989224434,0.033026956021785736,0.030265798792243004,0.0,0.0,0.0,0.0
13,0.9864500164985657,0.015920428559184074,0.03242502361536026,0.02863103710114956,0.0,0.0,0.0,0.0
14,0.987333357334137,0.015248830430209637,0.031972117722034454,0.027781881392002106,0.0,0.0,0.0,0.0
